20110125 20110125-S01E01  Winter_is_coming 62 9.1
20110125 20110125-S01E02	The_Kings_Road	56	8.8	1
20110125 20110125-S01E03	Lord_Snow	58	8.7	1
20110125 20110125-S01E04	Cripples_Bastards_and_Broken Things 	56	8.8	1
20110125 20110125-S01E05	The_Wolf_and_the_Lion 	55	9.1	1
20110125 20110125-S01E06	A_Golden_Crown 	53	9.2	1
20110125 20110125-S01E07	You_Win_or_You_Die 	58	9.2	1
20110125 20110125-S01E08	The_Pointy_End 	59	9	1
20110125 20110125-S01E09	Baelor 	57	9.6	1
20110125 20110125-S01E10	Fire_and_Blood 	53	9.5	1
20110125 20110125-S02E01	The_North_Remembers	53	8.8	2
20110125 20110125-S02E02	The_Night_Lands 	54	8.5	2
20110125 20110125-S02E03	What_Is_Dead_May_Never_Die 	53	8.8	2
20110125 20110125-S02E04	Garden_of_Bones 	51	8.8	2
20110125 20110125-S02E05	The_Ghost_of_Harrenhal 	55	8.8	2
20110125 20110125-S02E06	The_Old_Gods_and_the_New	54	9.1	2
20110125 20110125-S02E07	A_Man_Without_Honor 	56	8.9	2
20110125 20110125-S02E08	The_Prince_of_Winterfell 	54	8.8	2
20110125 20110125-S02E09	Blackwater 	55	9.7	2
20110125 20110125-S02E10	Valar_Morghulis 	64	9.4	2
20110125 20110125-S03E01	Valar_Dohaeris 	55	8.8	3
20110125 20110125-S03E02	Dark_Wings_Dark_Words	56	8.6	3
20110125 20110125-S03E03	Walk_of_Punishment 	56	8.9	3
20110125 20110125-S03E04	And_Now_His_Watch_Is_Ended 	53	9.6	3
20110125 20110125-S03E05	Kissed_by_Fire	57	9	3
20110125 20110125-S03E06	The_Climb 	53	8.8	3
20110125 20110125-S03E07	The_Bear_and_the_Maiden_Fair 	58	8.7	3
20110125 20110125-S03E08	Second_Sons 	56	9	3
20110125 20110125-S03E09	The_Rains_of_Castamere	51	9.9	3
20110125 20110125-S03E10	Mhysa	63	9.2	3
20110125 20110125-S04E01	Two_Swords	58	9.1	4
20110125 20110125-S04E02	The_Lion_and_the_Rose 	52	9.7	4
20110125 20110125-S04E03	Breaker_of_Chains 	57	8.9	4
20110125 20110125-S04E04	Oathkeeper 	55	8.8	4
20110125 20110125-S04E05	First_of_His_Name 	53	8.7	4
20110125 20110125-S04E06	The_Laws_of_Gods_and_Men 	51	9.7	4
20110125 20110125-S04E07	Mockingbird 	51	9.1	4
20110125 20110125-S04E08	The_Mountain_and_the_Viper 	52	9.7	4
20110125 20110125-S04E09	The_Watchers_on_the_Wall 	51	9.6	4
20110125 20110125-S04E10	The_Children 	65	9.7	4
20110125 20110125-S05E01	The_Wars_to_Come	53	8.5	5
20110125 20110125-S05E02	The_House_of_Black_and_White	56	8.5	5
20110125 20110125-S05E03	High_Sparrow	60	8.5	5
20110125 20110125-S05E04	Sons_of_the_Harpy	51	8.7	5
20110125 20110125-S05E05	Kill_the_Boy	57	8.6	5
20110125 20110125-S05E06	Unbowed_Unbent_Unbroken	54	8	5
20110125 20110125-S05E07	The_Gift	59	9	5
20110125 20110125-S05E08	Hardhome	61	9.9	5
20110125 20110125-S05E09	The_Dance_of_Dragons	52	9.5	5
20110125 20110125-S05E10	Mother's_Mercy 	60	9.1	5
20110125 20110125-S06E01	The_Red_Woman	50	8.5	6
20110125 20110125-S06E02	Home	54	9.4	6
20110125 20110125-S06E03	Oathbreaker 	52	8.7	6
20110125 20110125-S06E04	Book_of_the_Stranger	59	9.1	6
20110125 20110125-S06E05	The_Door	57	9.7	6
20110125 20110125-S06E06	Blood_of_My_Blood	52	8.4	6
20110125 20110125-S06E07	The_Broken_Man	51	8.6	6
20110125 20110125-S06E08	No_One	59	8.4	6
20110125 20110125-S06E09	Battle_of_the_Bastards	60	9.9	6
20110125 20110125-S06E10	The_Winds_of_Winter	68	9.9	6
20110125 20110125-S07E01	Dragonstone	59	8.6	7
20110125 20110125-S07E02	Stormborn	59	8.9	7
20110125 20110125-S07E03	The_Queen's_Justice	63	9.2	7
20110125 20110125-S07E04	The_Spoils_of_War	50	9.8	7
20110125 20110125-S07E05	Eastwatch	59	8.8	7
20110125 20110125-S07E06	Beyond_the_Wall 	70	9	7
20110125 20110125-S07E07	The_Dragon_and_the_Wolf 	80	9.4	7
20110125 20110125-S08E01	Winterfell 	54	7.6	8
20110125 20110125-S08E02	A_Knight_of_the_Seven Kingdoms 	58	7.8	8
20110125 20110125-S08E03	The_Long_Night	82	7.5	8
20110125 20110125-S08E04	The_Last_of_the_Starks	78	5.5	8
20110125 20110125-S08E05	The_Bells	78	6	8
20110125	20110125-S08E06	The_Iron_Throne	80	4.1	8
20170120	20170120-S01E01	Secrets 	51	8.2	1
20170120	20170120-S01E02	Lies	44	8.1	1
20170120	20170120-S01E03	Past_and_Present	45	8.6	1
20170120	20170120-S01E04	Double_Lives 	47	8.3	1
20170120	20170120-S01E05	Truths 	45	8.9	1
20170120	20170120-S01E06	Sic_Mundus Creatus Est 	51	9.1	1
20170120	20170120-S01E07	Crossroads	52	8.7	1
20170120	20170120-S01E08	As_You_Sow,_so_You_Shall_Reap 	50	9.2	1
20170120	20170120-S01E09	Everything_Is_Now	55	8.7	1
20170120	20170120-S01E10	Alpha_and_Omega	57	9.2	1
20170120	20170120-S02E01	Beginnings_and_Endings	53	8.9	2
20170120	20170120-S02E02	Dark_Matter 	54	9	2
20170120	20170120-S02E03	Ghosts	56	9.2	2
20170120	20170120-S02E04	The_Travelers	60	9.5	2
20170120	20170120-S02E05	Lost_and_Found	56	9.3	2
20170120	20170120-S02E06	An_Endless_Cycle	54	9.6	2
20170120	20170120-S02E07	The_White_Devil	58	9.3	2
20170120	20170120-S02E08	Endings_and_Beginnings	57	9.5	2
20160150	20160150-S01E01	Chapter_One:_The_Vanishing_of_Will_Byers	47	8.6	1
20160150	20160150-S01E02	Chapter_Two:_The_Weirdo_on_Maple_Street	55	8.5	1
20160150	20160150-S01E03	Chapter_Three:_Holly_Jolly 51	8.9	1
20160150	20160150-S01E04	Chapter_Four:_The_Body	49	9	1
20160150	20160150-S01E05	Chapter_Five:_The_Flea_and_the_Acrobat 	52	8.8	1
20160150	20160150-S01E06	Chapter_Six:_The_Monster	46	8.9	1
20160150	20160150-S01E07	Chapter_Seven:_The_Bathtub	41	9.1	1
20160150	20160150-S01E08	Chapter_Eight:_The_Upside_Down	54	9.4	1
20160150	20160150-S02E01	Chapter_One:_MADMAX	48	8.3	2
20160150	20160150-S02E02	Chapter_Two:_Trick_or_Treat_Freak	56	8.4	2
20160150	20160150-S02E03	Chapter_Three:_The_Pollywog	51	8.7	2
20160150	20160150-S02E04	Chapter_Four:_Will_the_Wise	46	8.7	2
20160150	20160150-S02E05	Chapter_Five:_Dig_Dug	58	8.9	2
20160150	20160150-S02E06	Chapter_Six:_The_Spy	51	9.2	2
20160150	20160150-S02E07	Chapter_Seven:_The_Lost_Sister	45	6.1	2
20160150	20160150-S02E08	Chapter_Eight:_The_Mind_Flayer	47	9.3	2
20160150	20160150-S02E09	Chapter_Nine:_The_Gate	62	9.4	2
20160150	20160150-S03E01	Chapter_One:_Suzie_Do_You_Copy?	50	7.9	3
20160150	20160150-S03E02	Chapter_Two:_The_Mall_Rats	50	8	3
20160150	20160150-S03E03	Chapter_Three:_The_Case_of_the_Missing_Lifeguard 	49	8.4	3
20160150	20160150-S03E04	Chapter_Four:_The_Sauna_Test	52	9	3
20160150	20160150-S03E05	Chapter_Five:_The_Flayed	51	8.6	3
20160150	20160150-S03E06	Chapter_Six:_E_Pluribus_Unum	59	8.7	3
20160150	20160150-S03E07	Chapter_Seven:_The_Bite	55	8.8	3
20160150	20160150-S03E08	Chapter_Eight:_The_Battle_of_Starcourt	77	9.3	3
20170220	20170220-S01E01	Efectuar_lo_acordado	47	8.3	1
